country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,88888,3460.0,60598.0,24830.0,1124.0,2236,87.0,520008.0,13081.0,39751424
Albania,Europe,132437,2453.0,129807.0,177.0,18.0,46068,853.0,752527.0,261764.0,2874828
Algeria,Africa,132727,3560.0,92384.0,36783.0,25.0,2976,80.0,230861.0,5177.0,44595470
Andorra,Europe,13813,127.0,13591.0,95.0,3.0,178504,1641.0,193595.0,2501809.0,77382
Angola,Africa,36455,819.0,30101.0,5535.0,9.0,1078,24.0,596451.0,17634.0,33823498
Anguilla,North America,109,,109.0,0.0,,7205,,22201.0,1467447.0,15129
Antigua And Barbuda,North America,1263,42.0,1214.0,7.0,,12797,426.0,16700.0,169212.0,98693
Argentina,South America,4093090,84628.0,3668672.0,339790.0,7839.0,89787,1856.0,15067518.0,330525.0,45586681
Armenia,Asia,223643,4482.0,215118.0,4043.0,,75339,1510.0,1122295.0,378071.0,2968473
Aruba,North America,11072,107.0,10950.0,15.0,14.0,103289,998.0,170318.0,1588876.0,107194
Australia,Australia/Oceania,30234,910.0,29189.0,135.0,1.0,1173,35.0,19254979.0,746937.0,25778568
Austria,Europe,648187,10652.0,633105.0,4430.0,99.0,71584,1176.0,47268180.0,5220188.0,9054880
Azerbaijan,Asia,335065,4951.0,328194.0,1920.0,,32768,484.0,3606364.0,352690.0,10225321
Bahamas,North America,12092,236.0,11081.0,775.0,3.0,30475,595.0,101084.0,254758.0,396785
Bahrain,Asia,256921,1196.0,240529.0,15196.0,310.0,146236,681.0,4791070.0,2727021.0,1756888
Bangladesh,Asia,822849,13032.0,761916.0,47901.0,1126.0,4950,78.0,6144773.0,36964.0,166235568
Barbados,North America,4033,47.0,3968.0,18.0,,14018,163.0,175641.0,610486.0,287707
Belarus,Europe,403845,2958.0,396650.0,4237.0,,42751,313.0,6500351.0,688131.0,9446386
Belgium,Europe,1074988,25075.0,992815.0,57098.0,302.0,92375,2155.0,14455587.0,1242185.0,11637225
Belize,North America,12938,325.0,12463.0,150.0,2.0,31992,804.0,140905.0,348418.0,404414
Benin,Africa,8109,102.0,7979.0,28.0,5.0,653,8.0,604310.0,48652.0,12420971
Bermuda,North America,2497,33.0,2455.0,9.0,7.0,40235,532.0,284965.0,4591766.0,62060
Bhutan,Asia,1789,1.0,1440.0,348.0,,2295,1.0,798573.0,1024321.0,779612
Bolivia,South America,400047,15321.0,315304.0,69422.0,200.0,33837,1296.0,1611615.0,136313.0,11822915
Bosnia And Herzegovina,Europe,204597,9479.0,177122.0,17996.0,,62731,2906.0,1000580.0,306784.0,3261513
Botswana,Africa,59480,896.0,55617.0,2967.0,1.0,24822,374.0,1203796.0,502369.0,2396237
Brazil,South America,17301220,484350.0,15718593.0,1098277.0,8318.0,80853,2263.0,50245852.0,234811.0,213984390
British Virgin Islands,North America,248,1.0,209.0,38.0,,8152,33.0,39777.0,1307551.0,30421
